time,target,y,error,steer
0.032,0.5000,0.4497,0.5000,2.6680
0.064,0.5000,0.4496,0.5000,0.0803
0.096,0.5000,0.4506,0.5000,0.0255
0.128,0.5000,0.4514,0.5000,0.0300
0.160,0.5000,0.4522,0.5000,0.0295
0.192,0.5000,0.4530,0.5000,0.0286
0.224,0.5000,0.4538,0.5000,0.0277
0.256,0.5000,0.4546,0.5000,0.0266
0.288,0.5000,0.4554,0.5000,0.0255
0.320,0.5000,0.4562,0.5000,0.0244
0.352,0.5000,0.4570,0.5000,0.0233
0.384,0.5000,0.4578,0.5000,0.0221
0.416,0.5000,0.4586,0.5000,0.0210
0.448,0.5000,0.4594,0.5000,0.0198
0.480,0.5000,0.4602,0.5000,0.0187
0.512,0.5000,0.4610,0.5000,0.0175
0.544,0.5000,0.4618,0.5000,0.0163
0.576,0.5000,0.4626,0.5000,0.0151
0.608,0.5000,0.4634,0.5000,0.0140
0.640,0.5000,0.4642,0.5000,0.0128
0.672,0.5000,0.4650,0.5000,0.0116
0.704,0.5000,0.4658,0.5000,0.0103
0.736,0.5000,0.4666,0.5000,0.0091
0.768,0.5000,0.4674,0.5000,0.0078
0.800,0.5000,0.4682,0.5000,0.0066
0.832,0.5000,0.4690,0.5000,0.0053
0.864,0.5000,0.4698,0.5000,0.0041
0.896,0.5000,0.4706,0.5000,0.0029
0.928,0.5000,0.4714,0.5000,0.0017
0.960,0.5000,0.4722,0.5000,0.0005
0.992,0.5000,0.4730,0.5000,-0.0008
1.024,0.5000,0.4738,0.5000,-0.0020
1.056,0.5000,0.4746,0.5000,-0.0032
1.088,0.5000,0.4754,0.5000,-0.0044
1.120,0.5000,0.4762,0.5000,-0.0056
1.152,0.5000,0.4770,0.5000,-0.0067
1.184,0.5000,0.4778,0.5000,-0.0079
1.216,0.5000,0.4786,0.5000,-0.0091
1.248,0.5000,0.4794,0.5000,-0.0103
1.280,0.5000,0.4802,0.5000,-0.0115
1.312,0.5000,0.4810,0.5000,-0.0126
1.344,0.5000,0.4818,0.5000,-0.0138
1.376,0.5000,0.4826,0.5000,-0.0150
1.408,0.5000,0.4834,0.5000,-0.0161
1.440,0.5000,0.4842,0.5000,-0.0173
1.472,0.5000,0.4850,0.5000,-0.0184
1.504,0.5000,0.4858,0.5000,-0.0195
1.536,0.5000,0.4865,0.5000,-0.0207
1.568,0.5000,0.4873,0.5000,-0.0218
1.600,0.5000,0.4881,0.5000,-0.0229
1.632,0.5000,0.4889,0.5000,-0.0241
1.664,0.5000,0.4897,0.5000,-0.0252
1.696,0.5000,0.4905,0.5000,-0.0263
1.728,0.5000,0.4913,0.5000,-0.0274
1.760,0.5000,0.4921,0.5000,-0.0285
1.792,0.5000,0.4928,0.5000,-0.0296
1.824,0.5000,0.4936,0.5000,-0.0307
1.856,0.5000,0.4944,0.5000,-0.0317
1.888,0.5000,0.4952,0.5000,-0.0328
1.920,0.5000,0.4959,0.5000,-0.0339
1.952,0.5000,0.4967,0.5000,-0.0349
1.984,0.5000,0.4975,0.5000,-0.0360
